score,%,,,,
age,6,7,8,9,10
1,0,0,0,0,0
2,0,0,0,0,0
3,1,0,0,0,0
4,2,0,0,0,0
5,3,0,0,0,0
6,4,0,0,0,0
7,5,0,0,0,0
8,8,5,0,0,0
9,10,8,0,0,0
10,16,10,5,0,0
11,21,15,7,0,0
12,25,20,8,5,0
13,38,25,10,6,0
14,50,31,15,8,0
15,54,38,20,10,5
16,58,44,25,13,6
17,62,50,28,17,8
18,65,54,32,20,9
19,68,57,36,23,10
20,72,60,39,25,13
21,75,63,42,28,15
22,78,66,46,32,17
23,81,69,50,35,19
24,83,72,54,38,21
25,85,75,57,41,23
26,87,78,60,44,25
27,90,82,63,47,28
28,92,84,66,50,32
29,94,87,69,54,35
30,95,90,72,58,38
31,96,92,75,62,41
32,96,93,78,65,44
33,97,95,81,68,47
34,97,96,84,71,50
35,98,96,87,73,54
36,98,97,90,75,58
37,98,97,93,80,62
38,99,98,95,85,66
39,99,98,96,90,70
40,99,98,96,95,75
41,99,99,97,96,80
42,99,99,97,96,85
43,99,99,98,97,90
44,99,99,98,97,95
45,99,99,98,98,96
46,99,99,99,98,96
47,99,99,99,98,97
48,99,99,99,99,97
49,99,99,99,99,98
50,99,99,99,99,98
51,99,99,99,99,98
52,99,99,99,99,99
53,99,99,99,99,99
54,99,99,99,99,99
55,99,99,99,99,99
56,99,99,99,99,99
57,99,99,99,99,99
58,99,99,99,99,99
59,99,99,99,99,99
60,99,99,99,99,99
